packet_len,ip_len,ip_ttl,ip_proto
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
134,0,0,0
110,0,0,0
110,0,0,0
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
42,0,0,0
64,0,0,0
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
98,84,64,1
98,84,255,1
